
W[1][0][0]=0.91906  W[1][0][1]=3.24152  W[1][0][2]=3.13434  W[1][1][0]=-4.72849  W[1][1][1]=-0.767155  W[1][1][2]=-0.124417  W[1][2][0]=1.24491  W[1][2][1]=-0.374116  W[1][2][2]=0.0958068  W[1][3][0]=-1.34775  W[1][3][1]=1.34602  W[1][3][2]=-0.24638  W[2][0][0]=4.89593  W[2][0][1]=3.26988  W[2][0][2]=-0.0765813  W[2][0][3]=2.21393  W[2][0][4]=1.17262  W[2][1][0]=1.17262  W[2][1][1]=1.0197  W[2][1][2]=-0.381633  W[2][1][3]=0.881729  W[2][1][4]=2.58296  W[2][2][0]=2.58296  W[2][2][1]=2.78372  W[2][2][2]=-0.859923  W[2][2][3]=0.818036  W[2][2][4]=3.45407  W[2][3][0]=3.45407  W[2][3][1]=1.8309  W[2][3][2]=-1.42159  W[2][3][3]=0.460979  W[2][3][4]=3.03392  W[3][0][0]=3.03392  W[3][0][1]=1.51262  W[3][0][2]=3.72436  W[3][0][3]=3.51992  W[3][0][4]=5.95994  W[3][1][0]=5.95994  W[3][1][1]=0.504801  W[3][1][2]=1.07648  W[3][1][3]=1.044  W[3][1][4]=3.59078  W[4][0][0]=9.02972  W[4][0][1]=5.77535  W[4][0][2]=6.68955  

W[1][0][0]=0.882093  W[1][0][1]=3.24155  W[1][0][2]=3.13162  W[1][1][0]=-4.76355  W[1][1][1]=-0.773242  W[1][1][2]=-0.122441  W[1][2][0]=1.23721  W[1][2][1]=-0.38909  W[1][2][2]=0.0838806  W[1][3][0]=-1.32543  W[1][3][1]=1.32687  W[1][3][2]=-0.207965  W[2][0][0]=4.97373  W[2][0][1]=3.2923  W[2][0][2]=-0.0361891  W[2][0][3]=2.22194  W[2][0][4]=1.13938  W[2][1][0]=1.13938  W[2][1][1]=1.04503  W[2][1][2]=-0.389148  W[2][1][3]=0.921762  W[2][1][4]=2.63491  W[2][2][0]=2.63491  W[2][2][1]=2.81044  W[2][2][2]=-0.860796  W[2][2][3]=0.818503  W[2][2][4]=3.5479  W[2][3][0]=3.5479  W[2][3][1]=1.84447  W[2][3][2]=-1.45275  W[2][3][3]=0.442323  W[2][3][4]=3.09726  W[3][0][0]=3.09726  W[3][0][1]=1.53998  W[3][0][2]=3.77695  W[3][0][3]=3.5969  W[3][0][4]=5.98188  W[3][1][0]=5.98188  W[3][1][1]=0.518164  W[3][1][2]=1.09602  W[3][1][3]=1.04854  W[3][1][4]=3.64935  W[4][0][0]=9.13027  W[4][0][1]=5.86123  W[4][0][2]=6.75514  

W[1][0][0]=0.856928  W[1][0][1]=3.2413  W[1][0][2]=3.13354  W[1][1][0]=-4.78303  W[1][1][1]=-0.776461  W[1][1][2]=-0.129225  W[1][2][0]=1.22365  W[1][2][1]=-0.39696  W[1][2][2]=0.0661103  W[1][3][0]=-1.29728  W[1][3][1]=1.30117  W[1][3][2]=-0.172141  W[2][0][0]=5.04686  W[2][0][1]=3.30109  W[2][0][2]=-0.000207944  W[2][0][3]=2.22274  W[2][0][4]=1.10958  W[2][1][0]=1.10958  W[2][1][1]=1.0678  W[2][1][2]=-0.394247  W[2][1][3]=0.957572  W[2][1][4]=2.67636  W[2][2][0]=2.67636  W[2][2][1]=2.83702  W[2][2][2]=-0.861244  W[2][2][3]=0.815048  W[2][2][4]=3.63226  W[2][3][0]=3.63226  W[2][3][1]=1.8586  W[2][3][2]=-1.47757  W[2][3][3]=0.414629  W[2][3][4]=3.16518  W[3][0][0]=3.16518  W[3][0][1]=1.56349  W[3][0][2]=3.82214  W[3][0][3]=3.66226  W[3][0][4]=5.99764  W[3][1][0]=5.99764  W[3][1][1]=0.531247  W[3][1][2]=1.11227  W[3][1][3]=1.0534  W[3][1][4]=3.7021  W[4][0][0]=9.22198  W[4][0][1]=5.93565  W[4][0][2]=6.81723  

W[1][0][0]=0.83688  W[1][0][1]=3.24819  W[1][0][2]=3.13715  W[1][1][0]=-4.80102  W[1][1][1]=-0.769607  W[1][1][2]=-0.137985  W[1][2][0]=1.20956  W[1][2][1]=-0.404541  W[1][2][2]=0.0501156  W[1][3][0]=-1.27227  W[1][3][1]=1.27328  W[1][3][2]=-0.138594  W[2][0][0]=5.11232  W[2][0][1]=3.30629  W[2][0][2]=0.0310281  W[2][0][3]=2.22279  W[2][0][4]=1.08191  W[2][1][0]=1.08191  W[2][1][1]=1.09083  W[2][1][2]=-0.398656  W[2][1][3]=0.991165  W[2][1][4]=2.71441  W[2][2][0]=2.71441  W[2][2][1]=2.86407  W[2][2][2]=-0.861703  W[2][2][3]=0.812282  W[2][2][4]=3.71441  W[2][3][0]=3.71441  W[2][3][1]=1.87358  W[2][3][2]=-1.50096  W[2][3][3]=0.388209  W[2][3][4]=3.22696  W[3][0][0]=3.22696  W[3][0][1]=1.58475  W[3][0][2]=3.86352  W[3][0][3]=3.72347  W[3][0][4]=6.014  W[3][1][0]=6.014  W[3][1][1]=0.545239  W[3][1][2]=1.12804  W[3][1][3]=1.05778  W[3][1][4]=3.75218  W[4][0][0]=9.30866  W[4][0][1]=6.00409  W[4][0][2]=6.87738  

W[1][0][0]=0.81794  W[1][0][1]=3.25095  W[1][0][2]=3.13681  W[1][1][0]=-4.80958  W[1][1][1]=-0.774503  W[1][1][2]=-0.13948  W[1][2][0]=1.19891  W[1][2][1]=-0.415091  W[1][2][2]=0.0413302  W[1][3][0]=-1.25972  W[1][3][1]=1.25339  W[1][3][2]=-0.11011  W[2][0][0]=5.16991  W[2][0][1]=3.31505  W[2][0][2]=0.0565608  W[2][0][3]=2.22829  W[2][0][4]=1.05558  W[2][1][0]=1.05558  W[2][1][1]=1.11223  W[2][1][2]=-0.402373  W[2][1][3]=1.02632  W[2][1][4]=2.74274  W[2][2][0]=2.74274  W[2][2][1]=2.8858  W[2][2][2]=-0.862402  W[2][2][3]=0.813187  W[2][2][4]=3.78878  W[2][3][0]=3.78878  W[2][3][1]=1.88232  W[2][3][2]=-1.524  W[2][3][3]=0.368892  W[2][3][4]=3.28463  W[3][0][0]=3.28463  W[3][0][1]=1.60542  W[3][0][2]=3.89889  W[3][0][3]=3.77863  W[3][0][4]=6.03225  W[3][1][0]=6.03225  W[3][1][1]=0.560981  W[3][1][2]=1.14373  W[3][1][3]=1.06222  W[3][1][4]=3.79336  W[4][0][0]=9.38784  W[4][0][1]=6.065  W[4][0][2]=6.93482  

W[1][0][0]=0.79953  W[1][0][1]=3.25715  W[1][0][2]=3.13631  W[1][1][0]=-4.82259  W[1][1][1]=-0.777515  W[1][1][2]=-0.141216  W[1][2][0]=1.18282  W[1][2][1]=-0.422738  W[1][2][2]=0.0318969  W[1][3][0]=-1.24609  W[1][3][1]=1.23083  W[1][3][2]=-0.0836533  W[2][0][0]=5.22136  W[2][0][1]=3.32009  W[2][0][2]=0.0798801  W[2][0][3]=2.22991  W[2][0][4]=1.03234  W[2][1][0]=1.03234  W[2][1][1]=1.13343  W[2][1][2]=-0.4045  W[2][1][3]=1.05888  W[2][1][4]=2.76886  W[2][2][0]=2.76886  W[2][2][1]=2.91169  W[2][2][2]=-0.860639  W[2][2][3]=0.813487  W[2][2][4]=3.8581  W[2][3][0]=3.8581  W[2][3][1]=1.89522  W[2][3][2]=-1.54115  W[2][3][3]=0.347036  W[2][3][4]=3.33753  W[3][0][0]=3.33753  W[3][0][1]=1.62464  W[3][0][2]=3.93256  W[3][0][3]=3.83003  W[3][0][4]=6.0498  W[3][1][0]=6.0498  W[3][1][1]=0.576859  W[3][1][2]=1.15815  W[3][1][3]=1.06648  W[3][1][4]=3.83088  W[4][0][0]=9.46298  W[4][0][1]=6.11965  W[4][0][2]=6.98871  

W[1][0][0]=0.779464  W[1][0][1]=3.26473  W[1][0][2]=3.13702  W[1][1][0]=-4.83884  W[1][1][1]=-0.775942  W[1][1][2]=-0.140654  W[1][2][0]=1.16774  W[1][2][1]=-0.429988  W[1][2][2]=0.023553  W[1][3][0]=-1.23527  W[1][3][1]=1.21041  W[1][3][2]=-0.0561039  W[2][0][0]=5.26984  W[2][0][1]=3.32443  W[2][0][2]=0.101968  W[2][0][3]=2.23089  W[2][0][4]=1.00987  W[2][1][0]=1.00987  W[2][1][1]=1.15542  W[2][1][2]=-0.406351  W[2][1][3]=1.09065  W[2][1][4]=2.79331  W[2][2][0]=2.79331  W[2][2][1]=2.94018  W[2][2][2]=-0.858236  W[2][2][3]=0.81563  W[2][2][4]=3.92439  W[2][3][0]=3.92439  W[2][3][1]=1.90965  W[2][3][2]=-1.55808  W[2][3][3]=0.325831  W[2][3][4]=3.38371  W[3][0][0]=3.38371  W[3][0][1]=1.64288  W[3][0][2]=3.9648  W[3][0][3]=3.8796  W[3][0][4]=6.0734  W[3][1][0]=6.0734  W[3][1][1]=0.593748  W[3][1][2]=1.17217  W[3][1][3]=1.07012  W[3][1][4]=3.86394  W[4][0][0]=9.53478  W[4][0][1]=6.17258  W[4][0][2]=7.0369  

W[1][0][0]=0.764405  W[1][0][1]=3.2711  W[1][0][2]=3.14094  W[1][1][0]=-4.85199  W[1][1][1]=-0.771947  W[1][1][2]=-0.141429  W[1][2][0]=1.14889  W[1][2][1]=-0.438741  W[1][2][2]=0.0155244  W[1][3][0]=-1.2245  W[1][3][1]=1.19109  W[1][3][2]=-0.0303239  W[2][0][0]=5.3144  W[2][0][1]=3.32623  W[2][0][2]=0.122068  W[2][0][3]=2.23075  W[2][0][4]=0.989589  W[2][1][0]=0.989589  W[2][1][1]=1.17624  W[2][1][2]=-0.407046  W[2][1][3]=1.12145  W[2][1][4]=2.81635  W[2][2][0]=2.81635  W[2][2][1]=2.96696  W[2][2][2]=-0.854925  W[2][2][3]=0.818021  W[2][2][4]=3.98968  W[2][3][0]=3.98968  W[2][3][1]=1.92291  W[2][3][2]=-1.57192  W[2][3][3]=0.303868  W[2][3][4]=3.42883  W[3][0][0]=3.42883  W[3][0][1]=1.6603  W[3][0][2]=3.99483  W[3][0][3]=3.92698  W[3][0][4]=6.09568  W[3][1][0]=6.09568  W[3][1][1]=0.610813  W[3][1][2]=1.18521  W[3][1][3]=1.07355  W[3][1][4]=3.89416  W[4][0][0]=9.60338  W[4][0][1]=6.22205  W[4][0][2]=7.08257  

W[1][0][0]=0.749548  W[1][0][1]=3.27933  W[1][0][2]=3.14481  W[1][1][0]=-4.86284  W[1][1][1]=-0.767499  W[1][1][2]=-0.14127  W[1][2][0]=1.1304  W[1][2][1]=-0.448138  W[1][2][2]=0.00827226  W[1][3][0]=-1.21552  W[1][3][1]=1.17165  W[1][3][2]=-0.00587127  W[2][0][0]=5.35578  W[2][0][1]=3.32638  W[2][0][2]=0.141198  W[2][0][3]=2.22952  W[2][0][4]=0.970152  W[2][1][0]=0.970152  W[2][1][1]=1.19668  W[2][1][2]=-0.407172  W[2][1][3]=1.15183  W[2][1][4]=2.83682  W[2][2][0]=2.83682  W[2][2][1]=2.99296  W[2][2][2]=-0.851728  W[2][2][3]=0.821306  W[2][2][4]=4.05257  W[2][3][0]=4.05257  W[2][3][1]=1.93558  W[2][3][2]=-1.58555  W[2][3][3]=0.282357  W[2][3][4]=3.47254  W[3][0][0]=3.47254  W[3][0][1]=1.67718  W[3][0][2]=4.02295  W[3][0][3]=3.97227  W[3][0][4]=6.1178  W[3][1][0]=6.1178  W[3][1][1]=0.628114  W[3][1][2]=1.19752  W[3][1][3]=1.07656  W[3][1][4]=3.92217  W[4][0][0]=9.66899  W[4][0][1]=6.26786  W[4][0][2]=7.12674  

