2.97,2.8445,2.66487,2.50776,2.38738,2.29556,2.22379,2.16631,2.11954,2.08125,2.05006,2.02509,2.00573,1.99149,1.98192,1.9766,1.97509,1.97696,1.98177,1.98912,1.99859,
2.83487,2.62341,2.43906,2.29935,2.19231,2.10747,2.0384,1.98125,1.93358,1.89385,1.86105,1.83453,1.81375,1.79828,1.78768,1.78151,1.77933,1.78067,1.78509,1.79216,1.80146,
2.61838,2.41108,2.25179,2.12737,2.02638,1.94267,1.87267,1.81388,1.76453,1.72334,1.68941,1.66206,1.64077,1.62503,1.61437,1.60831,1.60635,1.60802,1.61284,1.62037,1.6302,
2.41758,2.23851,2.09445,1.97347,1.87055,1.78341,1.71016,1.64884,1.59775,1.55551,1.52109,1.49369,1.47264,1.45737,1.44732,1.44195,1.44075,1.44321,1.44886,1.45725,1.46797,
2.25512,2.09155,1.94865,1.82236,1.71308,1.62081,1.54411,1.48083,1.4289,1.38661,1.35264,1.326,1.30586,1.29154,1.28242,1.27794,1.27755,1.28077,1.28713,1.2962,1.3076,
2.11696,1.9541,1.80337,1.66795,1.55173,1.45536,1.3769,1.31343,1.26225,1.22122,1.18872,1.16354,1.14476,1.13161,1.12344,1.11968,1.11981,1.12336,1.12991,1.13906,1.15048,
1.98943,1.81816,1.65614,1.51207,1.39132,1.29379,1.21621,1.15468,1.10582,1.06712,1.03674,1.01337,0.996036,0.98396,0.976508,0.97313,0.973344,0.976718,0.982869,0.991451,1.00216,
1.86602,1.6827,1.51034,1.36106,1.23971,1.14429,1.06993,1.01177,0.965982,0.929863,0.901542,0.879722,0.863466,0.852055,0.844906,0.841516,0.841442,0.844287,0.849693,0.857343,0.866955,
1.74575,1.55084,1.37182,1.22183,1.10352,1.01243,0.942251,0.887537,0.844354,0.810055,0.782901,0.761732,0.74573,0.734279,0.726866,0.723043,0.722399,0.724554,0.729159,0.735897,0.744485,
1.63053,1.427,1.24588,1.099,0.985787,0.899461,0.832807,0.780295,0.738204,0.704173,0.676722,0.654901,0.638052,0.62567,0.617316,0.612582,0.611077,0.612421,0.616256,0.622247,0.63009,
1.52313,1.31488,1.13554,0.99393,0.885982,0.803262,0.738315,0.685976,0.643012,0.60748,0.57822,0.554501,0.535806,0.521707,0.511803,0.505697,0.502994,0.503302,0.506247,0.511477,0.518668,
1.4258,1.21643,1.04135,0.905389,0.801469,0.720307,0.654843,0.60064,0.555116,0.516801,0.484821,0.458598,0.437666,0.42159,0.409933,0.402259,0.398135,0.397148,0.398912,0.403069,0.409297,
1.33969,1.13188,0.962069,0.830891,0.72907,0.647295,0.57942,0.521985,0.473124,0.431777,0.397241,0.368937,0.346312,0.328802,0.315852,0.306925,0.301526,0.299208,0.299577,0.302289,0.307044,
1.2649,1.06028,0.895612,0.767736,0.666052,0.581943,0.510573,0.449586,0.397762,0.354279,0.318393,0.289336,0.266313,0.248539,0.235277,0.22587,0.219748,0.216435,0.215536,0.216728,0.219748,
1.20073,1.00002,0.839755,0.71359,0.610461,0.523036,0.448044,0.384195,0.330704,0.286711,0.251188,0.223003,0.20103,0.184226,0.171684,0.162644,0.156491,0.152737,0.151,0.150984,0.152458,
1.14605,0.949358,0.792493,0.666651,0.561052,0.470087,0.392134,0.326762,0.273285,0.230499,0.196886,0.170865,0.150977,0.135968,0.124817,0.116718,0.111053,0.107349,0.105255,0.104503,0.104897,
1.09958,0.906641,0.752167,0.625603,0.517056,0.422925,0.343128,0.277749,0.225825,0.185554,0.154832,0.131648,0.114285,0.101365,0.0918306,0.0848863,0.0799452,0.0765765,0.074465,0.0733801,0.0731528,
1.06003,0.870422,0.717459,0.589481,0.477954,0.381385,0.300981,0.236925,0.187649,0.150618,0.12316,0.102932,0.0880642,0.0771461,0.0691435,0.0633115,0.0591168,0.0561783,0.0542227,0.0530533,0.0525275,
1.02625,0.839489,0.687332,0.557557,0.443312,0.345174,0.265279,0.203507,0.157475,0.123898,0.0996398,0.082144,0.069492,0.0603043,0.0536102,0.0487323,0.0451981,0.0426763,0.040933,0.0398017,0.0391626,
0.997227,0.812849,0.66097,0.529244,0.412712,0.313854,0.235341,0.176432,0.133831,0.103586,0.0822242,0.0670916,0.0562938,0.0485228,0.0428875,0.0387816,0.0357904,0.0336279,0.0320941,0.0310479,0.030388,
0.972096,0.789695,0.637715,0.504049,0.385725,0.286888,0.210367,0.154581,0.11533,0.0881172,0.0692629,0.0561019,0.0468099,0.0401685,0.0353685,0.0318706,0.0293112,0.0274424,0.0260926,0.0251409,0.0245013,
